question_id,topic,question_text,correct_answer,label,solution_explanation,difficulty,render_as
Q122,Geometry,Calculate the circumference of a circle with radius 11 inches. (Use 'pi' in your answer),22pi inches,correct,"The circumference of a circle is $C = 2 \pi r$. So, Circumference = $2 \times \pi \times 11 = 22\pi$ inches.",medium,markdown
Q123,Geometry,A square has a side length of 17 feet. What is its perimeter?,68 feet,correct,"The perimeter of a square is $P = 4s$. So, Perimeter = $4 \times 17 = 68$ feet.",medium,markdown
Q124,Word Problems,Emily has 80 apples to share equally among 10 people. How many apples does each person get?,8,correct,"To share equally, divide: 80 / 10 = 8 apples each.",medium,markdown
Q125,Arithmetic,Calculate: 19 - 6 * 10,130,correct,Calculating step-by-step: 19 - 6 = 13. Then 13 * 10 = 130.,medium,markdown
Q126,Geometry,A square has a side length of 21 mm. What is its perimeter?,84 mm,correct,"The perimeter of a square is $P = 4s$. So, Perimeter = $4 \times 21 = 84$ mm.",medium,markdown
Q127,Algebra,Solve for x: x^2 + 7x + 6 = 0,x = -6 or x = -1,correct,"The equation is $x^2 - (-7)x + (6) = 0$. Factor it as $(x - -6)(x - -1) = 0$. So, the solutions are $x = -6$ or $x = -1$.",medium,latex
Q128,Word Problems,There are 8 boxes. Each box contains 6 books. How many books are there in total?,48,correct,"To find the total, multiply: 8 * 6 = 48 books.",medium,markdown
Q129,Geometry,Calculate the circumference of a circle with radius 12 units. (Use 'pi' in your answer),24pi units,correct,"The circumference of a circle is $C = 2 \pi r$. So, Circumference = $2 \times \pi \times 12 = 24\pi$ units.",medium,markdown
Q130,Word Problems,There are 8 boxes. Each box contains 18 bananas. How many bananas are there in total?,144,correct,"To find the total, multiply: 8 * 18 = 144 bananas.",medium,markdown
Q131,Arithmetic,What is 25% of 223?,55,correct,25% of 223 is $(25/100) \times 223 = 55$.,medium,markdown
Q132,Arithmetic,Calculate: 8 + 6 * 4,56,correct,Calculating step-by-step: 8 + 6 = 14. Then 14 * 4 = 56.,medium,markdown
Q133,Arithmetic,What is 2 - 79?,-77,correct,2 - 79 = -77.,medium,markdown
Q134,Geometry,Find the area of a triangle with a base of 21 inches and a height of 13 inches.,136.5 inches^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 21 \times 13 = 136.5 inches^2$.",medium,markdown
Q135,Word Problems,Tom baked 18 bananas. They gave 5 bananas to sister and then baked 6 more. How many bananas does Tom have now?,19,correct,Step 1: 18 - 5 = 13. Step 2: 13 + 6 = 19 bananas.,medium,markdown
Q136,Word Problems,There are 10 boxes. Each box contains 8 pencils. How many pencils are there in total?,80,correct,"To find the total, multiply: 10 * 8 = 80 pencils.",medium,markdown
Q137,Word Problems,There are 10 boxes. Each box contains 16 marbles. How many marbles are there in total?,160,correct,"To find the total, multiply: 10 * 16 = 160 marbles.",medium,markdown
Q138,Algebra,Solve for x: 8x + 1 = -23,x = -3,correct,Given: 8x + 1 = -23. Subtract 1 from both sides: 8x = -24. Then divide by 8: x = -3.,medium,latex
Q139,Algebra,Solve for x: x^2 + 2x - 24 = 0,x = -6 or x = 4,correct,"The equation is $x^2 - (-2)x + (-24) = 0$. Factor it as $(x - -6)(x - 4) = 0$. So, the solutions are $x = -6$ or $x = 4$.",medium,latex
Q140,Geometry,Calculate the circumference of a circle with radius 10 m. (Use 'pi' in your answer),20pi m,correct,"The circumference of a circle is $C = 2 \pi r$. So, Circumference = $2 \times \pi \times 10 = 20\pi$ m.",medium,markdown
Q141,Word Problems,John baked 13 books. They gave 7 books to friend and then baked 6 more. How many books does John have now?,12,correct,Step 1: 13 - 7 = 6. Step 2: 6 + 6 = 12 books.,medium,markdown
Q142,Arithmetic,What is $7 \div 8$? Express as a simplified fraction.,7/8,correct,$7 / 8$ simplifies to the fraction $7/8$.,medium,latex
Q143,Arithmetic,What is 15% of 95?,14.25,correct,15% of 95 is $(15/100) \times 95 = 14.25$.,medium,markdown
Q144,Arithmetic,What is 5% of 88?,4.4,correct,5% of 88 is $(5/100) \times 88 = 4.4$.,medium,markdown
Q145,Geometry,A rectangle has a length of 16 inches and a width of 13 inches. Calculate its perimeter.,58 inches,correct,"The perimeter of a rectangle is $P = 2(l + w)$. So, Perimeter = $2 \times (16 + 13) = 58$ inches.",medium,markdown
Q146,Algebra,Solve for x: 3x + -5 = -50,x = -15,correct,Given: 3x + -5 = -50. Subtract -5 from both sides: 3x = -45. Then divide by 3: x = -15.,medium,latex
Q147,Geometry,What is the area of a circle with radius 11 feet? (Use 'pi' in your answer),121pi feet^2,correct,"The area of a circle is $A = \pi r^2$. So, Area = $\pi \times 11^2 = 121\pi$ feet$^2$.",medium,markdown
Q148,Word Problems,There are 4 boxes. Each box contains 9 apples. How many apples are there in total?,36,correct,"To find the total, multiply: 4 * 9 = 36 apples.",medium,markdown
Q149,Geometry,A rectangle has a length of 18 units and a width of 11 units. Calculate its perimeter.,58 units,correct,"The perimeter of a rectangle is $P = 2(l + w)$. So, Perimeter = $2 \times (18 + 11) = 58$ units.",medium,markdown
Q150,Word Problems,Tom has 27 books to share equally among 3 people. How many books does each person get?,9,correct,"To share equally, divide: 27 / 3 = 9 books each.",medium,markdown
Q151,Algebra,Solve for x: 8x + -24 = -40,x = -2,correct,Given: 8x + -24 = -40. Subtract -24 from both sides: 8x = -16. Then divide by 8: x = -2.,medium,latex
Q152,Geometry,Find the area of a triangle with a base of 25 cm and a height of 5 cm.,62.5 cm^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 25 \times 5 = 62.5 cm^2$.",medium,markdown
Q153,Arithmetic,What is 20 * 14?,280,correct,20 * 14 = 280.,medium,markdown
Q154,Algebra,Solve for x: x^2 - 4x - 21 = 0,x = -3 or x = 7,correct,"The equation is $x^2 - (4)x + (-21) = 0$. Factor it as $(x - 7)(x - -3) = 0$. So, the solutions are $x = 7$ or $x = -3$.",medium,latex
Q155,Algebra,Solve for x: x^2 + 5x - 14 = 0,x = -7 or x = 2,correct,"The equation is $x^2 - (-5)x + (-14) = 0$. Factor it as $(x - -7)(x - 2) = 0$. So, the solutions are $x = -7$ or $x = 2$.",medium,latex
Q156,Geometry,What is the area of a circle with radius 9 mm? (Use 'pi' in your answer),81pi mm^2,correct,"The area of a circle is $A = \pi r^2$. So, Area = $\pi \times 9^2 = 81\pi$ mm$^2$.",medium,markdown
Q157,Arithmetic,What is 16 * 12?,192,correct,16 * 12 = 192.,medium,markdown
Q158,Arithmetic,What is $34 \div 8$? Express as a simplified fraction.,17/4,correct,$34 / 8$ simplifies to the fraction $17/4$.,medium,latex
Q159,Geometry,A square has a side length of 16 units. What is its area?,256 units^2,correct,"The area of a square is given by the formula $A = s^2$. So, Area = $16^2 = 256$ units$^2$.",medium,markdown
Q160,Algebra,Solve for x: x^2 - 3x - 18 = 0,x = -3 or x = 6,correct,"The equation is $x^2 - (3)x + (-18) = 0$. Factor it as $(x - -3)(x - 6) = 0$. So, the solutions are $x = -3$ or $x = 6$.",medium,latex
Q161,Arithmetic,What is 13 * 18?,234,correct,13 * 18 = 234.,medium,markdown
Q162,Word Problems,Emily baked 12 books. They gave 14 books to teacher and then baked 8 more. How many books does Emily have now?,6,correct,Step 1: 12 - 14 = -2. Step 2: -2 + 8 = 6 books.,medium,markdown
Q163,Algebra,Solve for x: 3x + 23 = -1,x = -8,correct,Given: 3x + 23 = -1. Subtract 23 from both sides: 3x = -24. Then divide by 3: x = -8.,medium,latex
Q164,Algebra,Solve for x: x^2 + 9x + 18 = 0,x = -6 or x = -3,correct,"The equation is $x^2 - (-9)x + (18) = 0$. Factor it as $(x - -6)(x - -3) = 0$. So, the solutions are $x = -6$ or $x = -3$.",medium,latex
Q165,Algebra,Solve for x: x^2 + 8x + 7 = 0,x = -7 or x = -1,correct,"The equation is $x^2 - (-8)x + (7) = 0$. Factor it as $(x - -1)(x - -7) = 0$. So, the solutions are $x = -1$ or $x = -7$.",medium,latex
Q166,Algebra,Solve for x: 5x + -2 = 10,x = 12/5,correct,"Given: 5x + -2 = 10. Subtract -2 from both sides: 5x = 12. So, x = $12/5$. Simplified, x = $12/5$.",medium,latex
Q167,Algebra,Solve for x: x^2 + 3x - 18 = 0,x = -6 or x = 3,correct,"The equation is $x^2 - (-3)x + (-18) = 0$. Factor it as $(x - -6)(x - 3) = 0$. So, the solutions are $x = -6$ or $x = 3$.",medium,latex
Q168,Word Problems,Tom baked 15 marbles. They gave 15 marbles to friend and then baked 3 more. How many marbles does Tom have now?,3,correct,Step 1: 15 - 15 = 0. Step 2: 0 + 3 = 3 marbles.,medium,markdown
Q169,Algebra,Solve for x: 12x + 18 = 40,x = 11/6,correct,"Given: 12x + 18 = 40. Subtract 18 from both sides: 12x = 22. So, x = $22/12$. Simplified, x = $11/6$.",medium,latex
Q170,Arithmetic,What is 198 / 9?,22,correct,198 / 9 = 22.,medium,markdown
Q171,Word Problems,Emily baked 23 marbles. They gave 14 marbles to friend and then baked 8 more. How many marbles does Emily have now?,17,correct,Step 1: 23 - 14 = 9. Step 2: 9 + 8 = 17 marbles.,medium,markdown
Q172,Word Problems,Mike baked 16 marbles. They gave 13 marbles to sister and then baked 9 more. How many marbles does Mike have now?,12,correct,Step 1: 16 - 13 = 3. Step 2: 3 + 9 = 12 marbles.,medium,markdown
Q173,Algebra,Solve for x: 6x + 5 = 38,x = 11/2,correct,"Given: 6x + 5 = 38. Subtract 5 from both sides: 6x = 33. So, x = $33/6$. Simplified, x = $11/2$.",medium,latex
Q174,Algebra,Solve for x: x^2 - 8x + 15 = 0,x = 3 or x = 5,correct,"The equation is $x^2 - (8)x + (15) = 0$. Factor it as $(x - 5)(x - 3) = 0$. So, the solutions are $x = 5$ or $x = 3$.",medium,latex
Q175,Geometry,Find the area of a triangle with a base of 6 feet and a height of 16 feet.,48 feet^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 6 \times 16 = 48 feet^2$.",medium,markdown
Q176,Algebra,Solve for x: 14x + -20 = -24,x = -2/7,correct,"Given: 14x + -20 = -24. Subtract -20 from both sides: 14x = -4. So, x = $-4/14$. Simplified, x = $-2/7$.",medium,latex
Q177,Word Problems,John baked 13 books. They gave 13 books to sister and then baked 4 more. How many books does John have now?,4,correct,Step 1: 13 - 13 = 0. Step 2: 0 + 4 = 4 books.,medium,markdown
Q178,Algebra,Solve for x: 15x + -2 = 7,x = 3/5,correct,"Given: 15x + -2 = 7. Subtract -2 from both sides: 15x = 9. So, x = $9/15$. Simplified, x = $3/5$.",medium,latex
Q179,Algebra,Solve for x: 7x + -8 = -23,x = -15/7,correct,"Given: 7x + -8 = -23. Subtract -8 from both sides: 7x = -15. So, x = $-15/7$. Simplified, x = $-15/7$.",medium,latex
Q180,Geometry,What is the volume of a cube with an edge length of 7 feet?,343 feet^3,correct,"The volume of a cube is $V = s^3$. So, Volume = $7^3 = 343$ feet$^3$.",medium,markdown
Q181,Algebra,Solve for x: 2x + -23 = -7,x = 8,correct,Given: 2x + -23 = -7. Subtract -23 from both sides: 2x = 16. Then divide by 2: x = 8.,medium,latex
Q182,Algebra,Solve for x: 1x + 10 = -48,x = -58,correct,Given: 1x + 10 = -48. Subtract 10 from both sides: 1x = -58. Then divide by 1: x = -58.,hard,latex
Q183,Algebra,Solve for x: x^2 - 13x + 40 = 0,x = 5 or x = 8,correct,"The equation is $x^2 - (13)x + (40) = 0$. Factor it as $(x - 8)(x - 5) = 0$. So, the solutions are $x = 8$ or $x = 5$.",hard,latex
Q184,Arithmetic,What is 16 * 19?,304,correct,16 * 19 = 304.,hard,markdown
Q185,Algebra,Solve for x: x^2 - 9x + 8 = 0,x = 1 or x = 8,correct,"The equation is $x^2 - (9)x + (8) = 0$. Factor it as $(x - 8)(x - 1) = 0$. So, the solutions are $x = 8$ or $x = 1$.",medium,latex
Q186,Arithmetic,What is 20 * 7?,140,correct,20 * 7 = 140.,easy,markdown
Q187,Algebra,Solve for x: x^2 + 7x - 8 = 0,x = -8 or x = 1,correct,"The equation is $x^2 - (-7)x + (-8) = 0$. Factor it as $(x - 1)(x - -8) = 0$. So, the solutions are $x = 1$ or $x = -8$.",medium,latex
Q188,Geometry,A square has a side length of 4 inches. What is its area?,16 inches^2,correct,"The area of a square is given by the formula $A = s^2$. So, Area = $4^2 = 16$ inches$^2$.",easy,markdown
Q189,Geometry,What is the volume of a cube with an edge length of 8 inches?,512 inches^3,correct,"The volume of a cube is $V = s^3$. So, Volume = $8^3 = 512$ inches$^3$.",medium,markdown
Q190,Arithmetic,What is 87 - 7?,80,correct,87 - 7 = 80.,medium,markdown
Q191,Algebra,Solve for x: 14x + 7 = 35,x = 2,correct,Given: 14x + 7 = 35. Subtract 7 from both sides: 14x = 28. Then divide by 14: x = 2.,hard,latex
Q192,Algebra,Solve for x: 10x + -19 = -17,x = 1/5,correct,"Given: 10x + -19 = -17. Subtract -19 from both sides: 10x = 2. So, x = $2/10$. Simplified, x = $1/5$.",medium,latex
Q193,Arithmetic,What is 28 / 4?,7,correct,28 / 4 = 7.,easy,markdown
Q194,Word Problems,"Lisa bought 7 notebooks at $6 each, and 4 erasers at $9 each. How much did Lisa spend in total?",$78,correct,Cost of notebooks: 7 * $6 = $42. Cost of erasers: 4 * $9 = $36. Total = $42 + $36 = $78.,hard,markdown
Q195,Geometry,Find the area of a triangle with a base of 9 mm and a height of 20 mm.,90 mm^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 9 \times 20 = 90 mm^2$.",medium,markdown
Q196,Geometry,Find the area of a triangle with a base of 10 cm and a height of 5 cm.,25 cm^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 10 \times 5 = 25 cm^2$.",easy,markdown
Q197,Geometry,A square has a side length of 2 m. What is its area?,4 m^2,correct,"The area of a square is given by the formula $A = s^2$. So, Area = $2^2 = 4$ m$^2$.",easy,markdown
Q198,Arithmetic,What is $20 \div 16$? Express as a simplified fraction.,5/4,correct,$20 / 16$ simplifies to the fraction $5/4$.,easy,latex
Q199,Arithmetic,Calculate: 17 - 18 * 4,-4,correct,Calculating step-by-step: 17 - 18 = -1. Then -1 * 4 = -4.,easy,markdown
Q200,Arithmetic,What is 22 - 98?,-76,correct,22 - 98 = -76.,medium,markdown
Q201,Geometry,Find the area of a triangle with a base of 19 mm and a height of 25 mm.,237.5 mm^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 19 \times 25 = 237.5 mm^2$.",hard,markdown
Q202,Word Problems,"Mike bought 3 notebooks at $7 each, and 2 folders at $9 each. How much did Mike spend in total?",$39,correct,Cost of notebooks: 3 * $7 = $21. Cost of folders: 2 * $9 = $18. Total = $21 + $18 = $39.,hard,markdown
Q203,Algebra,Solve for x: 5x + -24 = 32,x = 56/5,correct,"Given: 5x + -24 = 32. Subtract -24 from both sides: 5x = 56. So, x = $56/5$. Simplified, x = $56/5$.",hard,latex
Q204,Algebra,Solve for x: 2x + -17 = -23,x = -3,correct,Given: 2x + -17 = -23. Subtract -17 from both sides: 2x = -6. Then divide by 2: x = -3.,easy,latex
Q205,Geometry,Find the area of a triangle with a base of 9 mm and a height of 20 mm.,90 mm^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 9 \times 20 = 90 mm^2$.",medium,markdown
Q206,Algebra,Solve for x: 5x + 13 = 18,x = 1,correct,Given: 5x + 13 = 18. Subtract 13 from both sides: 5x = 5. Then divide by 5: x = 1.,easy,latex
Q207,Geometry,A square has a side length of 2 m. What is its area?,4 m^2,correct,"The area of a square is given by the formula $A = s^2$. So, Area = $2^2 = 4$ m$^2$.",easy,markdown
Q208,Algebra,Solve for x: 11x + 18 = 22,x = 4/11,correct,"Given: 11x + 18 = 22. Subtract 18 from both sides: 11x = 4. So, x = $4/11$. Simplified, x = $4/11$.",hard,latex
Q209,Arithmetic,What is 65 + 55?,120,correct,65 + 55 = 120.,easy,markdown
Q210,Word Problems,"John bought 6 notebooks at $2 each, and 4 erasers at $5 each. How much did John spend in total?",$32,correct,Cost of notebooks: 6 * $2 = $12. Cost of erasers: 4 * $5 = $20. Total = $12 + $20 = $32.,hard,markdown
Q211,Algebra,Solve for x: x^2 + 7x - 8 = 0,x = -8 or x = 1,correct,"The equation is $x^2 - (-7)x + (-8) = 0$. Factor it as $(x - 1)(x - -8) = 0$. So, the solutions are $x = 1$ or $x = -8$.",medium,latex
Q212,Algebra,Solve for x: x^2 + 7x - 8 = 0,x = -8 or x = 1,correct,"The equation is $x^2 - (-7)x + (-8) = 0$. Factor it as $(x - -8)(x - 1) = 0$. So, the solutions are $x = -8$ or $x = 1$.",medium,latex
Q213,Word Problems,Mike has 54 cookies to share equally among 2 people. How many cookies does each person get?,27,correct,"To share equally, divide: 54 / 2 = 27 cookies each.",medium,markdown
Q214,Algebra,Solve for x: x^2 - 2x - 35 = 0,x = -5 or x = 7,correct,"The equation is $x^2 - (2)x + (-35) = 0$. Factor it as $(x - 7)(x - -5) = 0$. So, the solutions are $x = 7$ or $x = -5$.",hard,latex
Q215,Arithmetic,What is 80 + 34?,114,correct,80 + 34 = 114.,easy,markdown
Q216,Word Problems,John has 25 marbles. They give 18 marbles to their friend. How many marbles does John have left?,7,correct,John starts with 25 marbles and gives away 18. Remaining = 25 - 18 = 7 marbles.,easy,markdown
Q217,Algebra,Solve for x: 6x + -20 = -5,x = 5/2,correct,"Given: 6x + -20 = -5. Subtract -20 from both sides: 6x = 15. So, x = $15/6$. Simplified, x = $5/2$.",easy,latex
Q218,Arithmetic,What is 83 - 97?,-14,correct,83 - 97 = -14.,easy,markdown
Q219,Algebra,Solve for x: x^2 + 5x + 6 = 0,x = -3 or x = -2,correct,"The equation is $x^2 - (-5)x + (6) = 0$. Factor it as $(x - -2)(x - -3) = 0$. So, the solutions are $x = -2$ or $x = -3$.",easy,latex
Q220,Algebra,Solve for x: x^2 - 4 = 0,x = -2 or x = 2,correct,"The equation is $x^2 - (0)x + (-4) = 0$. Factor it as $(x - -2)(x - 2) = 0$. So, the solutions are $x = -2$ or $x = 2$.",easy,latex
Q221,Algebra,Solve for x: x^2 - 2x - 3 = 0,x = -1 or x = 3,correct,"The equation is $x^2 - (2)x + (-3) = 0$. Factor it as $(x - 3)(x - -1) = 0$. So, the solutions are $x = 3$ or $x = -1$.",easy,latex
Q222,Arithmetic,Calculate: 11 + 19 + 2,32,correct,Calculating step-by-step: 11 + 19 = 30. Then 30 + 2 = 32.,easy,markdown
Q223,Geometry,Find the area of a triangle with a base of 30 units and a height of 9 units.,135 units^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 30 \times 9 = 135 units^2$.",hard,markdown
Q224,Algebra,Solve for x: x^2 - 16 = 0,x = -4 or x = 4,correct,"The equation is $x^2 - (0)x + (-16) = 0$. Factor it as $(x - -4)(x - 4) = 0$. So, the solutions are $x = -4$ or $x = 4$.",medium,latex
Q225,Arithmetic,What is 11 * 13?,143,correct,11 * 13 = 143.,easy,markdown
Q226,Algebra,Solve for x: x^2 - 15x + 56 = 0,x = 7 or x = 8,correct,"The equation is $x^2 - (15)x + (56) = 0$. Factor it as $(x - 7)(x - 8) = 0$. So, the solutions are $x = 7$ or $x = 8$.",hard,latex
Q227,Word Problems,"Tom bought 4 pens at $7 each, and 3 erasers at $9 each. How much did Tom spend in total?",$55,correct,Cost of pens: 4 * $7 = $28. Cost of erasers: 3 * $9 = $27. Total = $28 + $27 = $55.,hard,markdown
Q228,Algebra,Solve for x: 4x + -14 = -38,x = -6,correct,Given: 4x + -14 = -38. Subtract -14 from both sides: 4x = -24. Then divide by 4: x = -6.,easy,latex
Q229,Algebra,Solve for x: x^2 + 1x - 12 = 0,x = -4 or x = 3,correct,"The equation is $x^2 - (-1)x + (-12) = 0$. Factor it as $(x - 3)(x - -4) = 0$. So, the solutions are $x = 3$ or $x = -4$.",medium,latex
Q230,Algebra,Solve for x: x^2 - 4x - 32 = 0,x = -4 or x = 8,correct,"The equation is $x^2 - (4)x + (-32) = 0$. Factor it as $(x - 8)(x - -4) = 0$. So, the solutions are $x = 8$ or $x = -4$.",hard,latex
Q231,Algebra,Solve for x: 2x + -22 = 1,x = 23/2,correct,"Given: 2x + -22 = 1. Subtract -22 from both sides: 2x = 23. So, x = $23/2$. Simplified, x = $23/2$.",hard,latex
Q232,Algebra,Solve for x: 14x + 25 = -9,x = -17/7,correct,"Given: 14x + 25 = -9. Subtract 25 from both sides: 14x = -34. So, x = $-34/14$. Simplified, x = $-17/7$.",hard,latex
Q233,Geometry,What is the area of a circle with radius 7 feet? (Use 'pi' in your answer),49pi feet^2,correct,"The area of a circle is $A = \pi r^2$. So, Area = $\pi \times 7^2 = 49\pi$ feet$^2$.",easy,markdown
Q234,Word Problems,"Mike bought 6 pens at $5 each, and 2 folders at $7 each. How much did Mike spend in total?",$44,correct,Cost of pens: 6 * $5 = $30. Cost of folders: 2 * $7 = $14. Total = $30 + $14 = $44.,hard,markdown
Q235,Arithmetic,What is 76 + 20?,96,correct,76 + 20 = 96.,easy,markdown
Q236,Geometry,A rectangle has a length of 23 feet and a width of 12 feet. Calculate its area.,276 feet^2,correct,"The area of a rectangle is $A = l \times w$. So, Area = $23 \times 12 = 276$ feet$^2$.",hard,markdown
Q237,Arithmetic,Calculate: $(12 \times 7) + (60 \div 5)$,96,correct,"First, $(12 \times 7) = 84$. Next, $(60 \div 5) = 12$. Finally, $84 + 12 = 96$.",hard,latex
Q238,Word Problems,John has 36 apples. They get 5 more apples. How many apples does John have in total?,41,correct,John starts with 36 apples and adds 5 more. Total = 36 + 5 = 41 apples.,easy,markdown
Q239,Word Problems,"Mike bought 4 notebooks at $7 each, and 2 erasers at $8 each. How much did Mike spend in total?",$44,correct,Cost of notebooks: 4 * $7 = $28. Cost of erasers: 2 * $8 = $16. Total = $28 + $16 = $44.,hard,markdown
Q240,Algebra,Solve for x: x^2 + 2x - 15 = 0,x = -5 or x = 3,correct,"The equation is $x^2 - (-2)x + (-15) = 0$. Factor it as $(x - -5)(x - 3) = 0$. So, the solutions are $x = -5$ or $x = 3$.",medium,latex
Q241,Algebra,Solve for x: x^2 + 8x + 15 = 0,x = -5 or x = -3,correct,"The equation is $x^2 - (-8)x + (15) = 0$. Factor it as $(x - -3)(x - -5) = 0$. So, the solutions are $x = -3$ or $x = -5$.",medium,latex
Q242,Algebra,Solve for x: 1x + 17 = -8,x = -25,correct,Given: 1x + 17 = -8. Subtract 17 from both sides: 1x = -25. Then divide by 1: x = -25.,hard,latex
Q243,Arithmetic,What is 15 * 19?,285,correct,15 * 19 = 285.,medium,markdown
Q244,Algebra,Solve for x: x^2 - 13x + 40 = 0,x = 5 or x = 8,correct,"The equation is $x^2 - (13)x + (40) = 0$. Factor it as $(x - 8)(x - 5) = 0$. So, the solutions are $x = 8$ or $x = 5$.",hard,latex
Q245,Algebra,Solve for x: x^2 - 16 = 0,x = -4 or x = 4,correct,"The equation is $x^2 - (0)x + (-16) = 0$. Factor it as $(x - -4)(x - 4) = 0$. So, the solutions are $x = -4$ or $x = 4$.",medium,latex
Q246,Arithmetic,What is 71 - 57?,14,correct,71 - 57 = 14.,easy,markdown
Q247,Geometry,What is the area of a circle with radius 13 units? (Use 'pi' in your answer),169pi units^2,correct,"The area of a circle is $A = \pi r^2$. So, Area = $\pi \times 13^2 = 169\pi$ units$^2$.",hard,markdown
Q248,Geometry,A square has a side length of 23 mm. What is its perimeter?,92 mm,correct,"The perimeter of a square is $P = 4s$. So, Perimeter = $4 \times 23 = 92$ mm.",hard,markdown
Q249,Algebra,Solve for x: x^2 - 2x - 3 = 0,x = -1 or x = 3,correct,"The equation is $x^2 - (2)x + (-3) = 0$. Factor it as $(x - 3)(x - -1) = 0$. So, the solutions are $x = 3$ or $x = -1$.",easy,latex
Q250,Word Problems,Mike has 35 apples. They get 20 more apples. How many apples does Mike have in total?,55,correct,Mike starts with 35 apples and adds 20 more. Total = 35 + 20 = 55 apples.,easy,markdown
